Zonal winds (U), betab (β_b), and betae (β_e) 
Latitude is planetocentric and pressure unit is mbar
Unit of zonal winds (U) is m/s; Unit of betab and betae is 1e-12 1/(s*m) 
Meridional profile of zonal winds (U) is saved first
Then data of betab and betae is saved in each pressure level with varying latitude  

zonal winds (U) at 500 mbar
latitude    U
  387.57   19.00      5.213     9.629
  387.57   20.00      5.062    10.542
  387.57   21.00      4.297    11.453
  387.57   22.00      2.915    11.378
  387.57   23.00      2.904    11.688
  387.57   24.00      2.881    10.009
  387.57   25.00      3.138     7.626
  387.57   26.00      3.312     6.740
  387.57   27.00      6.862    10.524
  387.57   28.00      6.825    12.197
  387.57   29.00      7.041    13.910
  387.57   30.00      9.677    17.894
  387.57   31.00      5.128    15.894
  387.57   32.00      0.875    12.507
  387.57   33.00     -0.786     8.080
  387.57   34.00     -2.595    -0.663
  387.57   35.00     -1.449   -10.315
  387.57   36.00     -1.949   -22.720
  387.57   37.00     -2.254   -37.934
  387.57   38.00     -0.380   -46.000
  387.57   39.00      4.999   -45.001
  387.57   40.00     12.047   -37.953
  387.57   41.00     13.250   -32.679
  387.57   42.00     13.250   -29.696
  387.57   43.00     13.250   -30.082
  387.57   44.00      5.194   -32.298
  387.57   45.00     -1.247   -34.627
  387.57   46.00      2.602   -28.515
  387.57   47.00     -2.623   -26.919
  387.57   48.00      0.709   -18.500
  387.57   49.00     -1.855   -15.377
  387.57   50.00     -1.195   -15.080
  387.57   51.00     -1.641   -21.063
  387.57   52.00     -0.765   -28.474
  387.57   53.00      1.822   -34.745
  387.57   54.00      5.477   -39.645
  387.57   55.00      8.600   -41.400
  387.57   56.00     10.657   -37.992
  387.57   57.00      7.097   -29.856
  387.57   58.00      0.788   -23.947
  387.57   59.00      1.573   -16.431
  387.57   60.00      4.396    -5.710
  387.57   61.00      8.552    13.157
  387.57   62.00     12.647    42.864
  387.57   63.00      7.118    46.000
  387.57   64.00     -1.588    46.000
  387.57   65.00      0.737    46.000
  387.57   66.00     -0.802    46.000
  387.57   67.00     -2.452    43.922
  387.57   68.00     -0.477    22.804
  387.57   69.00     -1.543     4.729
  387.57   70.00     -2.037    -1.282
  387.57   71.00     -3.996     6.322
  387.57   72.00     -3.254    19.468
  387.57   73.00      1.570    33.070
  387.57   74.00      5.947    40.438
  387.57   75.00     12.789    42.634
  387.57   76.00     13.250    39.504
  387.57   77.00      0.338    19.279
  387.57   78.00     -6.468     2.532
  387.57   79.00     -2.727    -5.350
  387.57   80.00     -5.935   -14.604
  387.57   81.00     -5.151   -13.463
  387.57   82.00     -1.125    -2.430
  387.57   83.00      1.989    11.192
  387.57   84.00      7.337    25.202
  387.57   85.00     13.250    35.075
  387.57   86.00     12.315    31.962
  387.57   87.00     12.914    30.000
  387.57   88.00      6.577    24.739
  387.57   89.00      0.240    17.256
  387.57   90.00      0.134     2.242

Pressure level 338.466 mbar
pressure latitude     betab     betae
  338.47  -90.00      1.652   -46.000
  338.47  -89.00      1.758   -18.048
  338.47  -88.00      3.465    -6.399
  338.47  -87.00      3.520   -16.945
  338.47  -86.00      3.576   -10.150
  338.47  -85.00      2.255   -14.119
  338.47  -84.00      3.293    -9.586
  338.47  -83.00     -3.181   -12.888
  338.47  -82.00     -2.963    -8.784
  338.47  -81.00     -1.636    -4.715
  338.47  -80.00     -2.801    -3.347
  338.47  -79.00     -2.065    -0.340
  338.47  -78.00     -1.980     2.281
  338.47  -77.00     -1.479     4.954
  338.47  -76.00     -2.706     4.983
  338.47  -75.00     -3.978     4.002
  338.47  -74.00     -3.397     2.458
  338.47  -73.00      1.291     2.410
  338.47  -72.00      6.138     5.210
  338.47  -71.00     13.250    13.944
  338.47  -70.00     13.250    18.615
  338.47  -69.00      3.907     7.193
  338.47  -68.00     -1.180     1.531
  338.47  -67.00      0.169    -0.244
  338.47  -66.00     -3.358    -7.371
  338.47  -65.00     -1.279    -8.542
  338.47  -64.00     -1.412    -9.850
  338.47  -63.00     -0.131    -6.459
  338.47  -62.00      0.783    -1.938
  338.47  -61.00     -1.983    -2.449
  338.47  -60.00     -4.550    -3.575
  338.47  -59.00     -3.393    -1.422
  338.47  -58.00     -1.484     0.656
  338.47  -57.00      7.811    10.217
  338.47  -56.00     13.250    25.425
  338.47  -55.00     13.250    22.429
  338.47  -54.00      8.693    17.206
  338.47  -53.00      8.373    19.261
  338.47  -52.00      3.527    12.909
  338.47  -51.00     -0.143     5.440
  338.47  -50.00     -2.188     0.879
  338.47  -49.00     -3.772    -3.746
  338.47  -48.00     -4.095    -7.225
  338.47  -47.00     -3.368    -6.867
  338.47  -46.00      0.059    -1.793
  338.47  -45.00      5.997     5.888
  338.47  -44.00     12.672    14.270
  338.47  -43.00     13.250    21.223
  338.47  -42.00     13.250    22.287
  338.47  -41.00     10.033    15.034
  338.47  -40.00      1.267     5.114
  338.47  -39.00      1.258     1.977
  338.47  -38.00     -0.922    -3.375
  338.47  -37.00     -0.041    -4.448
  338.47  -36.00     -0.702    -5.589
  338.47  -35.00     -0.784    -4.637
  338.47  -34.00     -1.034    -3.160
  338.47  -33.00      0.911     0.327
  338.47  -32.00      3.438     4.341
  338.47  -31.00      6.653     8.148
  338.47  -30.00      8.554     9.524
  338.47  -29.00      7.106     7.591
  338.47  -28.00      9.571     9.467
  338.47  -27.00      7.400     6.455
  338.47  -26.00      0.818    -1.069
  338.47  -25.00     -0.185    -2.426
  338.47  -24.00      2.251     0.434
  338.47  -23.00      3.706     2.302
  338.47  -22.00      4.618     3.613
  338.47  -21.00      3.537     3.043
  338.47  -20.00      3.884     3.636
  338.47  -19.00      3.389     3.328
  338.47  -18.00      5.621     5.969
  338.47  -17.00      5.285     6.436
