Temporal variations of zonal winds (U) measured by ISS MT2/3 and CIRS 
Latitude is planetocentric and wind & uncertainty (error) unit is m/s

latitude  MT2/3(2004-09)  error MT2/3(2014)  error  CIRS(2004-09)  error  CIRS(2014)  error
 21.80     128.600        9.500   100.045     3.760   133.376      8.886   126.039     8.144
 21.90     126.500        9.100    97.614     3.520   131.708      8.500   124.127     8.142
 22.00     124.600        8.150    94.297     4.245   130.040      8.114   122.216     8.140
 22.10     122.700        7.200    92.630     4.460   128.559      8.238   120.414     8.190
 22.20     121.100        6.950    89.881     3.594   127.078      8.362   118.612     8.241
 22.30     119.500        6.700    87.117     3.977   125.598      8.485   116.811     8.291
 22.40     118.700        8.000    85.077     3.657   124.117      8.609   115.009     8.342
 22.50     117.900        9.300    84.398     3.417   122.636      8.732   113.208     8.393
 22.60     115.550        7.900    82.073     2.431   121.156      8.856   111.406     8.443
 22.70     113.200        6.500    81.396     2.437   119.675      8.979   109.605     8.494
 22.80     110.900        5.800    80.759     3.960   118.195      9.103   107.803     8.544
 22.90     109.333        6.167    79.587     3.746   116.714      9.226   106.002     8.595
 23.00     107.767        6.533    78.323     3.377   115.233      9.350   104.200     8.646
 23.10     106.200        6.900    79.095     3.499   113.873      9.461   102.649     8.830
 23.20     104.550        6.050    78.824     2.303   112.513      9.572   101.098     9.014
 23.30     102.900        5.200    76.066     2.210   111.153      9.683    99.547     9.198
 23.40     102.200        5.650    74.505     2.505   109.793      9.794    97.996     9.382
 23.50     101.500        6.100    75.372     1.660   108.433      9.906    96.445     9.566
 23.60      99.650        5.700    73.781     1.701   107.073     10.017    94.894     9.750
 23.70      97.800        5.300    72.967     2.464   105.713     10.128    93.343     9.934
 23.80      96.650        5.800    72.839     2.959   104.353     10.239    91.792    10.118
 23.90      95.500        6.300    73.452     2.801   102.993     10.350    90.241    10.303
 24.00      93.300        5.900    74.073     2.645   101.633     10.461    88.690    10.487
 24.10      91.100        5.500    73.860     2.140   100.067     10.385    87.288    10.301
 24.20      90.400        5.150    73.905     1.734    98.502     10.308    85.886    10.114
 24.30      89.700        4.800    73.745     2.050    96.936     10.231    84.485     9.928
 24.40      88.250        4.900    71.868     2.160    95.370     10.155    83.083     9.742
 24.50      86.800        5.000    71.643     2.191    93.805     10.078    81.681     9.556
 24.60      85.200        4.650    72.039     2.149    92.239     10.001    80.280     9.370
 24.70      83.600        4.300    71.558     2.250    90.674      9.925    78.878     9.184
 24.80      83.000        4.650    71.987     2.148    89.108      9.848    77.476     8.998
 24.90      82.400        5.000    71.764     2.264    87.543      9.771    76.075     8.812
 25.00      81.350        5.050    71.907     2.656    85.977      9.694    74.673     8.626
 25.10      80.300        5.100    71.840     3.020    85.231      9.650    74.350     8.545
 25.20      79.650        4.750    70.641     2.980    84.486      9.606    74.028     8.465
 25.30      79.000        4.400    70.700     2.226    83.740      9.562    73.705     8.385
 25.40      77.600        4.800    70.542     2.220    82.994      9.518    73.382     8.304
 25.50      77.233        4.600    68.913     1.770    82.248      9.474    73.059     8.224
 25.60      76.867        4.400    69.996     2.496    81.503      9.430    72.737     8.143
 25.70      76.500        4.200    68.453     2.960    80.757      9.385    72.414     8.063
 25.80      76.450        4.300    65.700     2.650    80.011      9.341    72.091     7.983
 25.90      76.400        4.400    65.183     3.256    79.266      9.297    71.768     7.902
 26.00      76.200        4.800    64.417     3.701    78.520      9.253    71.446     7.822
 26.10      76.000        5.200    62.249     3.897    78.366      9.041    71.612     7.854
 26.20      76.300        5.050    61.139     4.660    78.212      8.829    71.779     7.886
 26.30      76.600        4.900    59.693     4.036    78.058      8.616    71.946     7.918
 26.40      75.950        5.900    58.016     3.731    77.904      8.404    72.113     7.950
 26.50      75.300        6.900    57.628     4.222    77.750      8.192    72.280     7.982
 26.60      75.150        5.500    56.581     4.274    77.596      7.980    72.447     8.014
 26.70      75.000        4.100    55.816     4.430    77.442      7.767    72.614     8.046
 26.80      73.950        4.550    54.160     4.339    77.288      7.555    72.781     8.078
 26.90      72.900        5.000    51.178     3.711    77.134      7.343    72.948     8.111
 27.00      73.050        4.950    51.576     2.360    76.980      7.131    73.115     8.143
 27.10      73.200        4.900    50.339     3.184    75.883      7.183    72.014     8.138
 27.20      72.050        5.100    49.801     3.751    74.787      7.235    70.914     8.133
 27.30      70.900        5.300    50.187     3.686    73.690      7.287    69.814     8.128
 27.40      70.550        5.150    47.422     3.854    72.594      7.339    68.714     8.124
 27.50      70.200        5.000    49.838     3.821    71.497      7.391    67.613     8.119
 27.60      69.300        5.100    48.099     3.271    70.401      7.444    66.513     8.114
 27.70      68.400        5.200    46.373     2.354    69.304      7.496    65.413     8.109
 27.80      67.900        5.850    45.615     2.913    68.208      7.548    64.312     8.105
 27.90      67.400        6.500    46.340     2.870    67.112      7.600    63.212     8.100
 28.00      66.150        5.850    45.005     3.408    66.015      7.652    62.112     8.095
 28.10      64.900        5.200    44.110     3.787    65.779      7.566    61.723     8.192
 28.20      64.700        5.200    41.550     3.195    65.544      7.480    61.334     8.289
 28.30      64.500        5.200    41.071     3.412    65.308      7.394    60.946     8.385
 28.40      63.250        4.800    42.432     3.420    65.073      7.308    60.557     8.482
 28.50      62.000        4.400    39.772     3.476    64.837      7.222    60.168     8.579
 28.60      61.900        4.450    38.183     3.379    64.602      7.136    59.780     8.676
 28.70      61.800        4.500    37.633     3.091    64.366      7.050    59.391     8.772
 28.80      61.850        4.600    37.274     2.685    64.131      6.964    59.002     8.869
 28.90      61.900        4.700    35.358     2.682    63.895      6.878    58.613     8.966
 29.00      61.050        4.450    34.398     3.262    63.659      6.792    58.225     9.063
 29.10      60.200        4.200    34.586     3.388    63.420      6.792    57.988     8.840
 29.20      60.050        4.250    36.685     2.917    63.181      6.791    57.751     8.618
 29.30      59.900        4.300    39.020     2.591    62.942      6.791    57.514     8.395
 29.40      59.900        4.200    39.628     2.763    62.703      6.790    57.277     8.173
 29.50      59.900        4.100    36.702     3.590    62.463      6.790    57.041     7.950
 29.60      59.050        4.700    31.726     4.305    62.224      6.789    56.804     7.728
 29.70      58.200        5.300    28.804     4.590    61.985      6.789    56.567     7.505
 29.80      57.500        4.400    28.686     4.512    61.746      6.788    56.330     7.283
 29.90      56.800        3.500    27.544     4.400    61.507      6.787    56.093     7.060
 30.00      55.600        2.500    25.936     4.178    61.267      6.787    55.857     6.838
 30.10      54.900        3.233    25.231     3.927    59.341      6.841    54.036     7.147
 30.20      54.200        3.967    23.659     4.212    57.414      6.895    52.216     7.457
 30.30      53.500        4.700    18.103     6.048    55.487      6.950    50.396     7.766
 30.40      52.100        4.900    16.172     5.134    53.561      7.004    48.575     8.076
 30.50      50.700        5.100    14.473     4.509    51.634      7.058    46.755     8.386
 30.60      49.100        4.650    13.857     4.346    49.707      7.112    44.935     8.695
 30.70      47.500        4.200    12.432     3.806    47.780      7.167    43.115     9.005
 30.80      45.450        4.900    10.569     3.948    45.854      7.221    41.294     9.314
 30.90      43.400        5.600    12.030     3.573    43.927      7.275    39.474     9.624
 31.00      40.600        6.050     8.701     3.938    42.000      7.329    37.654     9.934
 31.10      37.800        6.500     7.997     3.650    40.074      7.324    35.264     9.716
 31.20      35.250        5.550     6.013     4.259    38.147      7.320    32.875     9.499
 31.30      32.700        4.600     4.315     4.083    36.220      7.315    30.486     9.281
 31.40      31.400        7.050     2.902     3.984    34.293      7.310    28.097     9.064
 31.50      30.100        9.500    -1.715     3.809    32.367      7.305    25.707     8.846
 31.60      23.200        7.400    -6.580     2.943    30.440      7.300    23.318     8.628
 31.70      21.167        7.367    -8.545     2.466    28.513      7.295    20.929     8.411
 31.80      19.133        7.333   -10.269     2.649    26.586      7.290    18.540     8.193
 31.90      17.100        7.300   -11.965     2.467    24.660      7.285    16.150     7.976
 32.00      11.800        5.700   -11.877     2.830    22.733      7.280    13.761     7.758
 32.10       9.150        6.500   -12.606     3.483    21.069      7.431    11.564     7.824
 32.20       6.500        7.300   -12.939     3.411    19.405      7.583     9.366     7.890
 32.30       4.367        7.033   -14.308     2.806    17.741      7.735     7.169     7.956
 32.40       2.233        6.767   -16.959     3.266    16.077      7.886     4.972     8.022
 32.50       0.100        6.500   -16.923     3.578    14.412      8.038     2.775     8.089
 32.60      -3.800        6.900   -15.778     4.110    12.748      8.190     0.577     8.155
 32.70      -4.667        8.600   -16.307     3.648    11.084      8.342    -1.620     8.221
 32.80      -5.533       10.300   -16.492     3.568     9.420      8.493    -3.817     8.287
 32.90      -6.400       12.000   -18.107     2.730     7.756      8.645    -6.014     8.353
 33.00      -8.750        8.500   -19.435     2.535     6.092      8.797    -8.212     8.419
 33.10     -11.100        5.000   -20.664     2.334     5.222      8.648    -8.890     8.293
 33.20     -13.600        8.100   -20.405     2.303     4.351      8.499    -9.567     8.168
 33.30     -13.700        8.467   -18.582     2.203     3.480      8.350   -10.245     8.042
 33.40     -13.800        8.833   -17.910     2.332     2.610      8.201   -10.923     7.917
 33.50     -13.900        9.200   -17.209     2.600     1.739      8.052   -11.601     7.791
 33.60     -14.700        7.300   -17.839     2.579     0.869      7.903   -12.278     7.666
 33.70     -15.500        5.400   -16.224     3.275    -0.002      7.754   -12.956     7.540
 33.80     -15.700        5.250   -15.715     3.955    -0.872      7.605   -13.634     7.415
 33.90     -15.900        5.100   -14.363     4.000    -1.743      7.456   -14.312     7.289
 34.00     -16.600        4.900   -13.532     3.840    -2.613      7.308   -14.990     7.164
 34.10     -16.767        4.700   -14.205     4.350    -2.802      7.137   -14.666     7.085
 34.20     -16.933        4.500   -14.453     4.054    -2.990      6.966   -14.342     7.006
