betae (β_e) in 2009 and 2011 
Latitude is planetocentric and pressure unit is mbar
Unit of betae is 1e-12 1/(s*m) 
Data in each pressure level with varying latitude is saved 

Pressure level 508.1449 mbar
pressure latitude  betae(2009)  betae(2011)  
  338.47  -57.00      9.898    15.000
  338.47  -56.00     22.623    27.255
  338.47  -55.00     17.124    20.377
  338.47  -54.00      9.549    10.521
  338.47  -53.00     10.152     8.109
  338.47  -52.00      6.553     3.247
  338.47  -51.00      3.545     1.034
  338.47  -50.00      1.695     0.585
  338.47  -49.00      0.676     2.400
  338.47  -48.00      0.680     6.016
  338.47  -47.00      1.503     8.817
  338.47  -46.00      4.666    11.440
  338.47  -45.00      9.109    14.269
  338.47  -44.00     13.231    16.451
  338.47  -43.00     15.555    15.815
  338.47  -42.00     14.291    11.591
  338.47  -41.00      7.795     3.340
  338.47  -40.00      0.147    -4.889
  338.47  -39.00      0.217    -3.364
  338.47  -38.00     -2.322    -2.627
  338.47  -37.00     -2.264     0.392
  338.47  -36.00     -3.479     0.666
  338.47  -35.00     -3.479     0.431
  338.47  -34.00     -2.697    -0.792
  338.47  -33.00      1.140     0.487
  338.47  -32.00      5.318     3.278
  338.47  -31.00      9.009     6.966
  338.47  -30.00     10.456     9.129
  338.47  -29.00      8.241     8.027
  338.47  -28.00      9.212     9.650
  338.47  -27.00      5.776     6.136
  338.47  -26.00     -1.042    -0.483
  338.47  -25.00     -1.784    -0.825
  338.47  -24.00      1.170     2.221
  338.47  -23.00      3.281     4.246
  338.47  -22.00      4.606     5.612
  338.47  -21.00      3.663     4.957
  338.47  -20.00      4.133     5.552
  338.47  -19.00      4.012     5.146
  338.47  -18.00      6.498     7.069
  338.47  -17.00      6.318     5.996
  338.47  -16.00      8.405     7.427
  338.47  -15.00      5.671     4.664
  338.47  -14.00      6.053     5.067
  338.47  -13.00      5.720     5.212
  338.47  -12.00      7.588     7.965
  338.47  -11.00      8.672     9.430
  338.47  -10.00      7.938     8.991
  338.47   -9.00      6.779     7.658
  338.47   -8.00      6.801     6.639
  338.47   -7.00      4.341     4.088
  338.47   -6.00      3.186     3.506
  338.47   -5.00      0.910     1.795
  338.47   -4.00     -0.844    -0.210
  338.47   -3.00     -1.270    -1.522
  338.47   -2.00      2.117     1.212
  338.47   -1.00      4.818     3.120
  338.47    0.00      6.825     5.992
  338.47    1.00      9.918    11.496
  338.47    2.00      4.736     4.679
  338.47    3.00     -1.884    -2.750
  338.47    4.00      3.312     2.870
  338.47    5.00      2.152     1.194
  338.47    6.00      4.713     4.404
  338.47    7.00      8.629     8.861
  338.47    8.00      9.755    10.534
  338.47    9.00      9.172     9.897
  338.47   10.00     10.808    10.616
  338.47   11.00     11.540    10.554
  338.47   12.00      9.175     7.652
  338.47   13.00     11.789     9.990
  338.47   14.00      9.717     8.050
  338.47   15.00      5.501     3.622
  338.47   16.00      8.289     5.750
  338.47   17.00      6.701     3.026
  338.47   18.00      8.294     3.691
  338.47   19.00      7.930     3.467
  338.47   20.00      7.729     3.046
  338.47   21.00      7.966     1.887
  338.47   22.00      7.693     0.391
  338.47   23.00      7.260     0.280
  338.47   24.00      5.547     0.634
  338.47   25.00      3.672     0.895
  338.47   26.00      2.817     1.301
  338.47   27.00      6.620     5.731
  338.47   28.00      8.224     7.512
  338.47   29.00     10.992     9.258
  338.47   30.00     16.290    12.166
  338.47   31.00     14.194     7.728
  338.47   32.00      9.915     2.849
  338.47   33.00      5.958     0.087
  338.47   34.00      1.391    -2.318
  338.47   35.00     -1.348    -2.528
  338.47   36.00     -7.213    -4.922
  338.47   37.00    -15.106    -6.289
  338.47   38.00    -23.066    -4.478
  338.47   39.00    -26.807     2.577
  338.47   40.00    -23.909    13.608
  338.47   41.00    -16.365    23.077
  338.47   42.00     -7.143    28.976
  338.47   43.00     -7.327    22.967
  338.47   44.00    -11.875    12.066
  338.47   45.00    -16.701     2.221
  338.47   46.00    -11.523     3.994
  338.47   47.00    -12.320    -1.289
  338.47   48.00     -4.752     2.191
  338.47   49.00     -2.509     1.310
  338.47   50.00      0.471     2.304
  338.47   51.00      0.651     1.364
  338.47   52.00      0.877     1.263
  338.47   53.00      2.589     3.415
  338.47   54.00      4.403     7.674
  338.47   55.00      2.427    10.419
  338.47   56.00     -3.088     9.810
  338.47   57.00    -12.868     2.595
  338.47   58.00    -20.204    -4.854
  338.47   59.00    -15.947    -2.337
  338.47   60.00     -8.381     2.937
  338.47   61.00      1.280     8.428
  338.47   62.00     12.949    11.524
  338.47   63.00     14.070     1.145
  338.47   64.00      5.368   -17.102
  338.47   65.00      2.270   -25.759
  338.47   66.00     -4.514   -32.196
  338.47   67.00    -10.189   -30.950
  338.47   68.00     -8.291   -17.603
  338.47   69.00     -5.193    -1.394
  338.47   70.00     -0.027     9.400
  338.47   71.00      4.118     6.909
  338.47   72.00     10.669     2.893
  338.47   73.00     19.773     4.087
  338.47   74.00     26.238     8.578
  338.47   75.00     32.085    19.206
  338.47   76.00     31.231    23.699
