Cassini CIRS temperature and derived zonal winds  
Latitude is planetocentric, pressure unit is mbar, and wind & uncertainty unit is m/s
Data in each pressure level with varying latitude is saved 

Pressure level 508.1449 mbar
pressure latitude  temperature  wind   wind-uncertainty
  443.78   53.00    103.409    28.756     0.508
  443.78   54.00    103.395    48.171     0.768
  443.78   55.00    103.363    71.480     0.779
  443.78   56.00    103.363    90.368     0.439
  443.78   57.00    103.512    85.575     0.626
  443.78   58.00    103.719    70.486     0.321
  443.78   59.00    103.845    62.733     0.836
  443.78   60.00    103.904    66.579     0.908
  443.78   61.00    103.987    84.352     1.780
  443.78   62.00    104.056    95.402     0.751
  443.78   63.00    104.040    62.920     1.034
  443.78   64.00    103.963    31.035     0.941
  443.78   65.00    103.874    17.979     0.324
  443.78   66.00    103.688     3.012     1.160
  443.78   67.00    103.767    -4.844     1.299
  443.78   68.00    103.899    -9.012     1.435
  443.78   69.00    103.962   -11.685     1.109
  443.78   70.00    103.893   -11.361     1.270
  443.78   71.00    103.808    -8.525     1.546
  443.78   72.00    103.697    -1.071     2.250
  443.78   73.00    103.595    11.172     1.021
  443.78   74.00    103.504    31.885     0.594
  443.78   75.00    103.411    74.286     0.604
  443.78   76.00    103.311    79.584     0.358
  443.78   77.00    103.219    35.475     0.691
  443.78   78.00    103.138    13.032     0.630
  443.78   79.00    103.143     9.593     0.435
  443.78   80.00    103.175    10.319     0.497
  443.78   81.00    103.185    21.368     0.835
  443.78   82.00    103.136    32.942     0.845
  443.78   83.00    103.137    42.268     0.468
  443.78   84.00    103.150    66.167     1.031
  443.78   85.00    103.173    96.922     0.631
  443.78   86.00    103.135    89.383     0.484
  443.78   87.00    103.219    46.706     0.750
  443.78   88.00    103.180    17.045     0.688
  443.78   89.00    103.044     8.553     0.893
  443.78   90.00    102.888     0.010     0.751

Pressure level 387.5681 mbar
pressure latitude  temperature  wind   wind-uncertainty
  387.57  -90.00    101.033    -6.710     1.837
  387.57  -89.00    100.825   101.507     1.218
  387.57  -88.00    100.745   146.089     0.964
  387.57  -87.00    100.694   142.544     1.088
  387.57  -86.00    100.551   129.550     1.621
  387.57  -85.00    100.178   113.398     1.998
  387.57  -84.00     99.983    86.311     0.894
  387.57  -83.00     99.864    55.812     1.289
  387.57  -82.00     99.835    39.923     0.886
  387.57  -81.00     99.828    27.024     1.535
  387.57  -80.00     99.686    16.065     0.741
  387.57  -79.00     99.664     6.634     0.834
  387.57  -78.00     99.667     2.994     1.410
  387.57  -77.00     99.835    -0.099     1.488
  387.57  -76.00     99.918     0.615     1.488
  387.57  -75.00    100.081     2.925     1.361
  387.57  -74.00    100.313     9.169     1.436
  387.57  -73.00    100.410    19.960     1.748
  387.57  -72.00    100.392    41.426     2.085
  387.57  -71.00    100.342    83.579     1.531
  387.57  -70.00    100.351    86.227     0.824
  387.57  -69.00    100.383    43.879     0.568
  387.57  -68.00    100.446    18.383     0.916
  387.57  -67.00    100.519     0.704     0.893
  387.57  -66.00    100.590    -8.411     0.907
  387.57  -65.00    100.638   -13.619     1.329
  387.57  -64.00    100.644   -15.759     1.633
  387.57  -63.00    100.633   -13.246     1.248
  387.57  -62.00    100.706    -8.030     0.947
  387.57  -61.00    100.877    -2.037     1.405
  387.57  -60.00    101.040     6.342     2.128
  387.57  -59.00    101.152    13.992     2.617
  387.57  -58.00    101.216    25.089     3.168
