Zonal winds (U) measured by Cassini VIMS 5um images
Latitude is planetocentric and the unit of wind & wind uncertainty is m/s 
Raw data in different years is saved first (panel A of Fig. 10)
Averaged winds in each latitude bin are saved second (panel B of Fig. 10)

Raw data of zonal winds in 2006
latitude  zonal-wind  uncertainty
  9.18    400.790      35.665
  7.67    402.719      35.665

Raw data of zonal winds in 2015
latitude  zonal-wind  uncertainty
-40.00     56.910      17.281
-39.50     47.734      16.819
-39.00     38.559      16.357
-38.50     29.071      15.879
-38.00     19.584      15.402
-37.50     10.983      16.600
-37.00      2.383      17.799
-36.50     -1.227      17.259
-36.00     -4.836      16.720
-35.50     -6.710      16.179
-35.00     -8.584      15.638
-34.50    -10.508      15.458
-34.00    -12.432      15.279
-33.50    -12.515      15.098
-33.00    -12.598      14.918
-32.50     -5.023      14.737
-32.00      2.552      14.556
-31.50     13.663      15.410
-31.00     24.774      16.265
-30.50     35.922      15.572
-30.00     47.069      14.880
-29.50     59.245      14.967
-29.00     71.420      15.055
-28.50     75.861      15.077
-28.00     80.302      15.099
-27.50     84.755      15.155
-27.00     89.208      15.211
-26.50     80.108      15.166
-26.00     71.008      15.121
-25.50     68.600      15.117
-25.00     66.192      15.113
-24.50     70.681      15.151
-24.00     75.170      15.190
-23.50     86.746      15.272
-23.00     98.323      15.354
-22.50    105.831      15.411
-22.00    113.339      15.467
-21.50    118.805      16.225
-21.00    124.271      16.983
-20.50    129.796      17.752
-20.00    135.322      18.521
-19.50    143.801      17.868
-19.00    152.281      17.215
-18.50    163.040      17.296
-18.00    173.800      17.376
-17.50    176.583      16.672
-17.00    179.366      15.967
-16.50    185.202      16.070
-16.00    191.039      16.173
-15.50    196.882      19.979
-15.00    202.725      23.784
-14.50    207.712      19.701
-14.00    212.699      15.618
-13.50    231.057      16.966
-13.00    249.414      18.314
-12.50    267.902      19.671
-12.00    286.389      21.029
-11.50    293.330      21.838
-11.00    300.271      22.648
-10.50    316.803      19.874
-10.00    333.336      17.100
 -9.50    349.879      17.127
 -9.00    366.423      17.153
 -8.50    367.009      18.643
 -8.00    367.594      20.133
 -7.50    368.855      19.405
 -7.00    370.116      18.678
 -6.50    375.763      17.936
 -6.00    381.410      17.195
 -5.50    387.049      16.492
 -5.00    392.688      15.790
 -4.50    405.341      16.735
 -4.00    417.995      17.679
 -3.50    430.641      17.665
 -3.00    443.287      17.650
 -2.50    436.000      17.608
 -2.00    428.712      17.566
 -1.50    421.333      17.522
 -1.00    413.591      12.320
 -0.50    415.388      12.729
  0.00    419.401      23.085
  0.50    416.329      21.610
  1.00    413.374      18.859
  1.50    411.782      21.564
  2.00    409.926      19.910
  2.50    407.293      20.176
  3.00    407.038      18.624
  3.50    409.148      20.919
  4.00    410.544      18.752
  4.50    410.231      19.480
  5.00    410.065      18.508
  5.50    408.345      21.868
  6.00    407.007      21.356
  6.50    407.209      21.784
  7.00    410.514      21.240
  7.50    409.542      22.001
  8.00    402.096      19.431
  8.50    395.691      17.774
  9.00    387.366      17.452
  9.50    381.437      18.048
 10.00    365.387      18.483
 10.50    351.820      19.148
 11.00    330.679      20.757
 11.50    317.693      19.064
 12.00    305.883      16.787
 12.50    298.276      17.715
 13.00    281.680      21.887
 13.50    268.398      24.116
 14.00    247.374      22.403
 14.50    236.271      18.944
 15.00    220.727      15.477
 15.50    209.557      15.117
 16.00    200.153      15.256
 16.50    196.486      14.916
 17.00    188.444      16.016
 17.50    180.427      16.723
 18.00    168.801      16.343
 18.50    163.325      16.621
 19.00    153.955      18.405
 19.50    146.476      20.170
 20.00    129.380      19.514
 20.50    117.840      18.297
 21.00    109.879      17.930
 21.50    104.257      17.654
 22.00     94.882      19.023
 22.50     90.942      19.617
 23.00     86.499      18.329
 23.50     83.197      16.717
 24.00     78.804      15.315
 24.50     77.196      14.214
 25.00     74.723      13.675
 25.50     73.756      14.492
 26.00     73.008      14.487
 26.50     70.012      14.529
 27.00     62.397      14.441
 27.50     57.330      14.746
 28.00     51.345      15.893
 28.50     49.248      16.400
 29.00     44.332      17.685
 29.50     34.918      17.463
 30.00     12.885      14.204
 30.50      4.849      12.675
 31.00      3.560      12.956
 31.50      2.254      13.539
 32.00      1.011      13.567
 32.50      0.776      13.344
 33.00      0.543      12.940
 33.50     -0.464      14.062
 34.00     -3.023      17.649
 34.50     -2.491      17.612
 35.00      3.830      18.653
 35.50      8.449      21.302
 36.00     13.673      19.248
 36.50     23.027      22.250
 37.00     40.855      23.815
 37.50     46.254      27.545
 38.00     51.695      27.827
 38.50     61.784      18.990
 39.00     81.521      31.358
 39.50     91.641      28.034
 40.00    107.011      24.724

Average data of zonal winds in 2006
latitude  zonal-wind  uncertainty
-25.50     70.886      55.671
-24.50     35.711      55.671
-23.50    106.704      16.916
-22.50    106.209      14.318
-21.50    110.432      55.671
-20.50    129.496      10.851
-19.50    110.621      27.564
-18.50    160.469      20.585
-17.50    178.886      34.221
-16.50    202.086      15.494
-15.50    224.761      14.923
-14.50    236.416      22.532
-13.50    268.027      23.471
-12.50    283.035      26.861
-11.50    317.368      15.239
-10.50    339.707      15.794
 -9.50    359.753      13.512
 -8.50    368.926      18.699
 -7.50    377.433      21.142
 -6.50    365.005      46.828
 -3.50    367.483      66.224
  5.50    387.148      20.711
  7.50    361.256      21.926
  8.50    381.962      11.964
  9.50    380.399      13.188
 11.50    321.299      17.082
 13.50    258.287      11.132
 14.50    218.357      26.518
 15.50    219.402      17.082
 16.50    207.522      26.518
 17.50    188.728      14.444
 18.50    182.942      30.174
 19.50    154.963      11.848
 20.50    145.942      14.868
