Brunt-Väisälä frequency (N), vertical shear of zonal wind (dUdz), and Richardson number (Ri) 
Latitude is planetocentric and pressure unit is mbar
N unit is 1e-3 1/s, dUdz unit is 1e-3 1/s, and Ri is unitless 
Data in each pressure level with varying latitude is saved 

Pressure level 508.1449 mbar
pressure latitude       N       dUdz       Ri
  443.78  -40.00      6.422     0.013   296.784
  443.78  -39.00      6.421     0.014   296.763
  443.78  -38.00      6.442     0.001   298.687
  443.78  -37.00      6.475    -0.016   301.756
  443.78  -36.00      6.514    -0.019   305.356
  443.78  -35.00      6.550    -0.006   308.749
  443.78  -34.00      6.582     0.014   311.786
  443.78  -33.00      6.610     0.028   314.485
  443.78  -32.00      6.628     0.035   316.136
  443.78  -31.00      6.625     0.024   315.849
  443.78  -30.00      6.603    -0.004   313.798
  443.78  -29.00      6.568    -0.028   310.428
  443.78  -28.00      6.529    -0.045   306.836
  443.78  -27.00      6.498    -0.051   303.905
  443.78  -26.00      6.482    -0.042   302.379
  443.78  -25.00      6.481    -0.022   302.323
  443.78  -24.00      6.485     0.006   302.657
  443.78  -23.00      6.483     0.029   302.517
  443.78  -22.00      6.487     0.048   302.850
  443.78  -21.00      6.492     0.072   303.328
  443.78  -20.00      6.503     0.090   304.318
  443.78  -19.00      6.512     0.108   305.213
  443.78  -18.00      6.508     0.128   304.858
  443.78  -17.00      6.488     0.156   302.921
  443.78  -16.00      6.453     0.157   299.660
  443.78  -15.00      6.402     0.139   294.997
  443.78  -14.00      6.325     0.103   287.889
  443.78  -13.00      6.206     0.035   277.232
  443.78  -12.00      6.042    -0.087   262.738
  443.78  -11.00      5.841    -0.243   245.565
  443.78  -10.00      5.613    -0.415   182.879
  443.78   -9.00      5.367    -0.593    81.962
  443.78   -8.00      5.105    -0.768    44.190
  443.78   -7.00      4.820    -0.939    26.365
  443.78   -6.00      4.524    -1.146    15.586
  443.78   -5.00      4.240    -1.403     9.139
  443.78   -4.00      3.997    -1.583     6.377
  443.78   -3.00      3.820    -1.624     5.536
  443.78   -2.00      3.728    -1.498     6.192
  443.78   -1.00      3.715    -1.231     9.105
  443.78    0.00      3.773    -1.010    13.947
  443.78    1.00      3.882    -1.254     9.578
  443.78    2.00      4.026    -1.483     7.373
  443.78    3.00      4.197    -1.571     7.140
  443.78    4.00      4.391    -1.350    10.576
  443.78    5.00      4.603    -1.185    15.099
  443.78    6.00      4.822    -0.956    25.440
  443.78    7.00      5.028    -0.764    43.349
  443.78    8.00      5.204    -0.555    88.002
  443.78    9.00      5.340    -0.350   205.224
  443.78   10.00      5.426    -0.135   211.895
  443.78   11.00      5.459     0.073   214.490
  443.78   12.00      5.465     0.226   214.941
  443.78   13.00      5.441     0.280   213.052
  443.78   14.00      5.381     0.297   208.375
  443.78   15.00      5.299     0.281   202.122
  443.78   16.00      5.211     0.241   195.460
  443.78   17.00      5.131     0.213   189.449
  443.78   18.00      5.066     0.167   184.712
  443.78   19.00      5.038     0.137   182.661
  443.78   20.00      5.031     0.125   182.129
  443.78   21.00      5.034     0.128   182.415
  443.78   22.00      5.035     0.132   182.424
  443.78   23.00      5.020     0.126   181.400
  443.78   24.00      4.998     0.102   179.774
  443.78   25.00      4.972     0.067   177.911
  443.78   26.00      4.948     0.043   176.209
  443.78   27.00      4.944     0.032   175.888
  443.78   28.00      4.947     0.038   176.153
  443.78   29.00      4.943     0.049   175.839
